Year Mo Dy     tave     tmax     mxtm     tmin     mntm       vp    rhmax   rhmxtm    rhmin   rhmntm       sr     wrun       pp    st5mx  st5mxtm    st5mn  st5mntm   st15mx st15mxtm   st15mn st15mntm    volts     year     gust   gusttm   gusdir etr_asce
2019  3  2   -9.381   -1.948    00:00  -16.814    23:50    0.261    0.968    06:00    0.772    11:10    4.849  100.693    0.000      ***      ***      ***      ***    3.938    00:00    2.288    23:00      *** 2019.000    7.389    09:20      ***    0.522
2019  3  3  -17.259  -13.974    14:40  -20.543    23:40    0.119    0.850    21:10    0.657    15:00    8.860   66.473    0.000      ***      ***      ***      ***    2.253    00:00    1.691    23:00      *** 2019.000    4.920    11:00      ***    0.444
2019  3  4  -14.075   -6.319    15:40  -21.830    06:20    0.142    0.853    00:50    0.532    15:40   13.329   45.933    4.064      ***      ***      ***      ***    1.667    00:00    1.201    23:00      *** 2019.000    4.802    11:30      ***    0.706
2019  3  5   -9.756   -2.094    12:30  -17.418    06:40    0.184    0.838    06:00    0.426    12:30   12.560   44.759    6.858      ***      ***      ***      ***    1.185    00:00    0.875    23:00      *** 2019.000    4.822    14:30      ***    0.898
2019  3  6   -0.159    5.379    14:10   -5.697    06:50    0.415    0.960    21:00    0.417    11:30    7.670   54.888    0.508      ***      ***      ***      ***    0.872    00:00    0.800    14:00      *** 2019.000    5.762    18:30      ***    1.130
2019  3  7    0.280    4.117    16:50   -3.557    06:50    0.519    1.000    07:20    0.664    16:50    7.760   55.199    0.508      ***      ***      ***      ***    0.997    22:00    0.830    00:00      *** 2019.000    4.822    14:40      ***    0.976
2019  3  8    1.555    7.858    14:20   -4.747    05:40    0.488    0.954    00:40    0.475    11:50    6.988   50.908    0.508      ***      ***      ***      ***    1.041    23:00    0.820    14:00      *** 2019.000    7.232    17:10      ***    1.146
2019  3  9    5.548   10.554    14:20    0.543    21:30    0.497    0.929    02:10    0.169    13:50   13.947  117.554    0.000      ***      ***      ***      ***    5.363    19:00    1.013    09:00      *** 2019.000   17.777    06:30      ***    2.432
2019  3 10    2.875    9.202    15:50   -3.452    06:20    0.442    0.828    23:50    0.351    15:50   12.956   56.123    0.000      ***      ***      ***      ***    6.708    19:00    2.252    11:00      *** 2019.000    6.213    14:50      ***    1.682
2019  3 11    3.626   10.660    17:00   -3.408    06:00    0.510    0.898    06:00    0.390    12:30    9.105   42.899    0.000      ***      ***      ***      ***    5.882    19:00    2.800    12:00      *** 2019.000    6.488    13:20      ***    1.404
2019  3 12    7.334   16.078    15:20   -1.410    05:30    0.585    0.857    05:40    0.286    14:50   11.210   41.220    1.016      ***      ***      ***      ***    7.580    20:00    2.916    10:00      *** 2019.000    4.606    13:00      ***    1.821
2019  3 13    2.158    6.652    01:30   -2.336    12:00    0.555    1.000    09:10    0.557    23:00    1.278   85.704   14.732      ***      ***      ***      ***    7.160    00:00    3.368    23:00      *** 2019.000   12.328    20:40      ***    0.531
2019  3 14   -1.047    3.349    12:40   -5.442    23:50    0.310    0.731    23:50    0.367    12:10   12.583  134.797   11.938      ***      ***      ***      ***    3.276    00:00    2.081    23:00      *** 2019.000   14.073    02:10      ***    1.827
2019  3 15   -0.942    6.612    15:40   -8.495    05:50    0.318    0.814    01:00    0.302    14:10   15.013   48.629    0.254      ***      ***      ***      ***    2.359    20:00    1.504    15:00      *** 2019.000    4.822    15:50      ***    1.621
2019  3 16    1.528    8.584    15:10   -5.527    05:40    0.426    0.908    06:40    0.342    12:40   14.791   62.435    0.000      ***      ***      ***      ***    5.089    19:00    1.517    12:00      *** 2019.000    7.918    15:40      ***    1.816
2019  3 17    4.437   12.631    14:30   -3.756    06:20    0.468    0.858    04:20    0.260    12:40   14.466   51.460    0.000      ***      ***      ***      ***    6.595    19:00    2.456    11:00      *** 2019.000    7.017    15:40      ***    2.013
2019  3 18    3.946    9.703    13:50   -1.812    06:30    0.485    0.849    05:20    0.351    18:00   12.294   63.660    0.000      ***      ***      ***      ***    7.180    19:00    3.588    10:00      *** 2019.000    6.507    22:30      ***    1.824
2019  3 19    3.991    9.082    14:50   -1.100    06:30    0.336    0.663    05:10    0.168    17:10   15.345  118.498    0.000      ***      ***      ***      ***    7.090    19:00    4.256    10:00      *** 2019.000   12.211    15:50      ***    2.661
2019  3 20    4.995   16.148    15:20   -6.159    05:00    0.383    0.751    04:40    0.129    09:30   15.379   44.660    0.000      ***      ***      ***      ***    7.820    20:00    3.476    11:00      *** 2019.000    6.429    14:10      ***    2.261
2019  3 21    6.753   15.674    15:40   -2.167    05:50    0.491    0.817    06:00    0.182    15:40   11.411   54.197    0.000      ***      ***      ***      ***    8.150    19:00    4.639    10:00      *** 2019.000    8.428    16:20      ***    2.142
